rice,54973
chicken,39585
beef,22921
chinese food,19959
pork,18692
shrimp,16946
fried rice,15140
oca,14116
meat,11651
asti,9008
salt,8338
dim sum,8329
buffet,6950
wonton,6794
egg roll,6739
dumplings,6189
orange chicken,6060
garlic,5116
seafood,5041
broccoli,4772
noodle soup,4427
mongolian beef,4295
beans,3961
bra,3958
tuna,3871
onion,3830
spring roll,3640
mushroom,3469
panda express,3353
chow mein,3289
honey,2969
hot and sour soup,2918
asino,2780
lo mein,2744
toma,2684
the orange chicken,2626
cheese,2577
lemon,2574
hong kong,2550
cookie,2549
wonton soup,2480
pf chang,2455
black bean,2435
kung pao chicken,2325
lobster,2307
dal,2270
mushrooms,2247
nuts,2244
fast food,2211
steak,2199
soy sauce,2182
gur,2074
won ton,2054
salt and pepper,2010
sesame chicken,1889
white rice,1883
ice cream,1808
rice noodle,1769
brown rice,1736
strip mall,1697
chinese buffet,1632
pork belly,1613
green bean,1599
pork chop,1595
lamb,1588
deep fried,1537
sea bass,1524
calamari,1462
cucumber,1459
green onion,1443
chicken wings,1431
chicken fried,1425
fried chicken,1418
green beans,1396
hot pot,1381
menta,1310
dipping sauce,1279
pici,1261
rice noodles,1176
garlic sauce,1151
squid,1136
basil,1104
ada,1087
peas,1079
general tso's chicken,1077
sandwich,1072
peking duck,1068
roti,1064
chile,1062
cream cheese,1042
salmon,1034
iced tea,1029
black beans,1023
beef chow fun,1009
honey walnut,1007
stir fry,1007
fortune cookie,1002
green tea,960
dried,956
chinese cuisine,955
chili sauce,950
san francisco,947
bok choy,946
sweet and sour pork,932
pork chops,918
sticky rice,902
egg foo young,900
asian cuisine,890
sage,885
stir fried,848
steamed rice,828
congee,818
pizza,818
black pepper,794
burrito,788
sushi samba,783
wonton noodle,749
main course,741
short rib,740
spare ribs,729
sweet and sour sauce,725
cashew chicken,721
bay area,703
spinach,688
comfort food,671
mexican food,667
green onions,664
sushi rolls,655
vermicelli,641
filet,639
tom yum,632
tripe,632
credit card,631
potatoes,623
riso,614
brown sauce,601
americanized chinese food,600
dimsum,598
oyster sauce,578
hot sauce,573
bacon,568
bell pepper,565
bean curd,548
shaved ice,546
pita,541
jade chicken,524
mint,507
fish tank,505
condensed milk,501
peanut sauce,491
mu shu,486
great wall,483
xo sauce,468
gold coast,463
los angeles,462
salsa,450
rice cake,439
asparagus,434
kobe beef,415
fried egg,406
miso soup,402
pears,393
with black bean sauce,378
gluten free,376
food court,376
standard chinese,368
fish ball,363
language barrier,358
meatball,355
char siu,352
chili pepper,352
bell peppers,349
pepper steak,349
hoisin sauce,336
guacamole,335
chicken rice,330
pere,321
mele,320
green pepper,319
truffle,316
mapo tofu,314
date night,308
fried fish,308
coconut milk,306
chop suey,306
california roll,298
red chili,293
fruits,288
fish sauce,280
red pepper,279
mussels,278
sweet potato,277
jasmine tea,277
pork ribs,274
of garlic,274
sesame seed,273
filet mignon,250
zucchini,248
pasta,248
salad bar,246
soy milk,244
shark fin,244
roti canai,242
general chicken,238
beef broccoli,237
duck sauce,235
strawberries,229
refried beans,227
mandalay bay,224
chinese sausage,218
ribeye,217
credit cards,213
chicken soup,212
braised pork,212
japanese food,209
great taste,209
planet hollywood,208
lo mien,208
sesame seeds,205
napa cabbage,204
chocolate cake,203
bobo brazil,199
frog legs,195
octopus,193
soft drink,193
twice cooked pork,189
almond chicken,189
food truck,186
the stir fry,185
sesame oil,185
southern california,184
spaghetti,184
foie gras,183
beef tenderloin,183
prime rib,178
food poisoning,178
peanut butter,174
hot n sour soup,171
san gabriel,168
sin city,168
mu shu pork,167
chips and salsa,166
bitter melon,164
mixed vegetable,164
margaritas,161
neo tokyo,160
monday night,155
las vegas strip,154
french fries,152
acqui,151
chicken skewer,150
sunday brunch,149
red peppers,147
monte carlo,147
red rice,146
diet coke,146
egg white,143
monterey park,142
taco bell,141
cash register,139
bachelorette party,138
king crab,135
thai curry,130
vada,130
sweet soy,130
